Algorithm,Iteration,Timestamp,CPU%,Mem%
slam_toolbox,1,16,18.8,49.0
slam_toolbox,1,17,25.7,49.1
slam_toolbox,1,19,26.1,49.2
slam_toolbox,1,21,22.4,49.2
slam_toolbox,1,22,19.7,49.3
slam_toolbox,1,24,39.3,49.2
slam_toolbox,1,25,45.0,49.3
slam_toolbox,1,27,34.5,49.2
slam_toolbox,1,29,37.2,49.2
slam_toolbox,1,30,34.5,49.3
slam_toolbox,1,32,37.3,49.3
gmapping,0,0,40.0,48.6
gmapping,0,1,15.2,49.1
gmapping,0,3,18.4,49.1
gmapping,0,4,16.2,49.1
gmapping,0,6,22.2,49.3
gmapping,0,8,17.4,49.3
gmapping,0,9,16.8,49.3
gmapping,0,11,17.4,49.2
gmapping,0,12,17.0,49.2
gmapping,0,14,16.6,49.2
gmapping,0,16,17.0,49.2
gmapping,0,17,20.1,49.2
gmapping,0,19,17.0,49.2
gmapping,0,21,22.8,49.3
gmapping,0,22,16.1,49.3
gmapping,0,24,19.1,49.2
gmapping,0,25,17.6,49.2
gmapping,0,27,19.4,49.2
gmapping,0,29,16.3,49.2
gmapping,0,30,17.7,49.2
gmapping,0,32,20.0,49.2
gmapping,1,0,17.0,49.0
gmapping,1,1,22.7,49.0
gmapping,1,3,16.8,49.0
gmapping,1,4,24.2,49.2
gmapping,1,6,18.8,49.1
gmapping,1,8,15.2,49.1
gmapping,1,9,15.9,49.2
gmapping,1,11,15.7,49.2
gmapping,1,12,21.7,49.3
gmapping,1,14,21.3,49.4
gmapping,1,16,18.7,49.5
gmapping,1,17,16.3,49.5
gmapping,1,19,27.3,49.4
gmapping,1,21,25.4,49.6
gmapping,1,22,26.9,49.6
gmapping,1,24,16.2,49.6
gmapping,1,25,33.7,49.8
gmapping,1,27,35.5,49.8
gmapping,1,29,25.2,49.8
gmapping,1,30,29.8,49.9
gmapping,1,32,30.9,49.9
cartographer,0,0,12.9,49.6
cartographer,0,1,21.3,49.6
cartographer,0,3,17.8,49.6
cartographer,0,4,18.4,49.7
cartographer,0,6,27.2,49.7
cartographer,0,8,26.6,49.8
cartographer,0,9,41.4,49.9
cartographer,0,11,17.7,49.9
cartographer,0,12,14.2,49.8
cartographer,0,14,11.4,49.9
cartographer,0,16,11.7,49.9
cartographer,0,17,11.8,49.8
cartographer,0,19,20.9,49.7
cartographer,0,21,12.4,49.7
cartographer,0,22,13.4,49.7
cartographer,0,24,14.5,49.7
cartographer,0,25,32.0,49.8
cartographer,0,27,13.6,49.7
cartographer,0,29,14.9,49.7
cartographer,0,30,23.7,49.6
cartographer,0,32,28.6,49.7
cartographer,1,0,11.8,48.9
cartographer,1,1,23.2,49.4
cartographer,1,3,15.0,49.5
cartographer,1,4,17.7,49.6
cartographer,1,6,16.4,49.6
cartographer,1,8,15.9,49.6
cartographer,1,9,13.3,49.6
cartographer,1,11,12.7,49.6
cartographer,1,12,10.9,49.6
cartographer,1,14,18.1,49.4
cartographer,1,16,33.2,49.4
cartographer,1,17,12.3,49.4
cartographer,1,19,16.3,49.3
cartographer,1,21,14.2,49.3
cartographer,1,22,21.1,49.4
cartographer,1,24,21.7,49.5
cartographer,1,25,32.4,49.5
cartographer,1,27,15.7,49.6
cartographer,1,29,30.0,49.6
cartographer,1,30,20.3,49.6
cartographer,1,32,29.3,49.5
